Time,Capacity
1,369.3
2,366.94
3,363.99
4,359.58
5,355.32
6,350.79
7,346.09
8,340.88
9,336.36
10,330.21
11,322.93
12,315.49
13,309.03999999999996
14,304.73
15,305.29
16,309.32
17,321.6
18,326.64
19,328.24
20,335.53000000000003
21,337.69
22,346.22
23,349.14
24,358.84
25,374.05
26,377.23
27,371.2
28,355.62
29,344.82
30,332.89
31,321.41999999999996
32,308.19
33,295.89
34,283.24
35,270.5
36,258.72
37,248.2
38,238.07999999999998
39,229.27
40,223.78
41,216.73
42,211.87
43,209.16
44,219.76
45,218.77
46,218.28
47,216.37
48,217.07
49,216.13
50,217.92999999999998
51,217.98
52,275.52
53,327.26
54,341.5
55,354.98
56,382.53
57,391.46
58,398.11
59,400.97
60,408.15999999999997
61,411.67
62,415.73
63,431.02
64,446.32
65,461.26
66,471.81
67,472.85
68,473.56
69,472.03
70,469.6
71,474.69
72,479.9
73,481.82
74,488.0
75,485.91999999999996
76,477.53
77,469.12
78,455.20000000000005
79,440.25
80,426.71000000000004
81,413.92
82,408.81
83,396.76
84,382.89
85,369.35
86,356.94
87,344.28999999999996
88,331.77
89,322.19
90,312.0
91,302.74
92,294.29
93,286.01
94,277.11
95,272.92
96,268.49
97,262.15
98,254.89
99,252.89000000000001
100,251.03
101,247.42
102,242.92000000000002
103,238.08
104,233.01
105,229.03
106,226.01
107,222.79999999999998
108,218.48000000000002
109,214.29
110,209.39
111,204.93
112,200.39
113,196.31
114,193.33999999999997
115,192.63
116,188.79
117,184.35
118,180.75
119,194.34
120,265.08
121,291.28000000000003
122,304.25
123,322.46
124,425.83
125,463.13
126,476.90999999999997
127,484.69
128,503.15999999999997
129,517.0799999999999
130,519.71
131,512.69
132,506.22
133,498.74
134,489.39000000000004
135,476.84000000000003
136,467.68
137,460.92999999999995
138,454.40999999999997
139,450.14
140,455.46000000000004
141,460.96
142,470.44
143,466.36
144,462.19
145,448.56
146,452.57000000000005
147,450.67
148,449.47
149,446.69
150,442.49
151,440.72
152,443.82
153,457.77
154,463.28
155,480.6
156,487.81000000000006
157,491.63
